Title,Price (PHP),Exact Lifetime Sold,Monthly Sold
"Zeus G-61 Wired 61-Key RGB Mechanical Gaming Keyboard – Type-C, Blue Switch, Portable Design",598.0,10000,7000
"AULA F3261 61 Keys Mechanical Keyboard with Hot Swappable Switches, Wired Type-C",919.0,20000,171
"Aula F3261 61-Key Mechanical Keyboard with RGB Lighting and Hot Swappable Switches, Type-C Connection",919.0,20000,185
Hp Mechanical Gaming Keyboard Rgb Backlight Waterproof Durable Metal Plate Full-size K500y Gk100f Km100,569.0,3000,260
"AULA F75 Gaming Keyboard 75% Layout with RGB Lighting, Tri-Mode Connectivity and Hot-Swap Feature",2862.0,30000,4000
Zeus x Raiku Wired Rainbow LED Gaming Keyboard Bundle And Mouse Set 98 Silent Media Keys Volume Knob,529.0,5000,329
"AULA F99 Mechanical Keyboard 99 Keys with Hot-Swap Gasket Structure, 8000mAh Battery, and Three-Mode Connectivity",2818.0,10000,2000
Zeus GD-88 Hot Swappable Mechanical Gaming Keyboard Wired 82 Keys Color Backlit With Volume Knob,859.0,3000,194
Aula F75 Gaming Mechanical Keyboard 80 Key 75% RGB Tri-Mode Wired Bluetooth Hot Swappable Available in Multiple Colors,2643.0,7000,3000
"AULA F108 PRO Mechanical Keyboard – 104 Keys, RGB, Bluetooth/2.4G/Wired, Hot-Swappable, 8000mAh Battery",4657.0,2000,52
"Zeus 61-key wired Type-C mechanical keyboard with blue switches, RGB, portable, model G-61.",739.0,9000,2000
AULA Stock F2088 True Mechanical Keyboard Gaming Keyboard Wrist Rest Multimedia Knob Marco Programming,1179.0,10000,446
RGB Backlight competition game wired mechanical keyboard - Banda,1500.0,0,0
[MEGA SALE] ATTACK SHARK X85/X85 Pro Wireless Mechanical Keyboard 75% 80 Key,1290.0,0,0
Zeus 61 Key Wired Type C Mechanical Keyboard With Blue Switch RGB Gaming Portable Keyboard G-61,629.0,7000,667
EasyPC| Rakk Daug 96 mechanical keyboard| Hotswappable|Yellow Switch |Gray/Black & Black/Gray,819.0,2000,332
Zeus x Eweadn V102 RGB Mechanical Feel Keyboard 16M RGB Colors Silent Typing Volume Knob LED Logo,759.0,3000,305
"MageGee Mini 60% Gaming Keyboard, RGB Backlit 61 Key Ultra-Compact Keyboard, TS91 Ergonomic Waterproof Mechanical Feeling Office Computer Keyboards for PC, MAC, PS4, Xbox ONE Gamer",1020.0,6,0
Zeus ZK-011 98 Keys RGB LED Gaming Keyboard With Volume Roller Wired Mechanical-Style 98% Keyboard,499.0,10,9
ATTACK SHARK M87PRO V2 Wireless Mechanical Keyboard with Side Printed PBT Keycaps,2399.0,231,23
Zeus V102 RGB Mechanical Feel Keyboard 16M RGB Colors Silent Typing Volume Knob LED Logo,799.0,7000,1000
AULA HERO99 Magnetic Mechanical Keyboard 101Keys Wired 8Khz with Rapid Trigger  RGB Esports  Magnetic Switch,4659.0,11,6
AULA L99 84-Key Tri-Mode Mechanical Keyboard IPS Touchscreen 8000mAh Custom RGB,1530.0,0,0
Zeus K-003 Darth Vader RGB Mechanical Gaming Keyboard K-003,348.0,424,11
Zeus G-61 hot-swappable 61-key RGB backlit detachable mechanical wired keyboard Type-c key-wire separation design,639.0,803,193
【AULA SALE】Aula F75 75% Mechanical Keyboard 3-in-1 Wired Bluetooth RGB Gaming Keyboard,1200.0,0,0
[December All Out Sale] Aula F75 Gaming Mechanical Keyboard 3in1 75% 80 Key RGB Tri-Mode,1256.0,0,0
"Machenike KG98 Gasket Mount Wireless Mechanical Keyboard, Type-C / 2.4 G / Bluetooth Tri-Mode Gaming Keyboard, 98-Key Layout, Hot-Swappable, Up to 10000 mAh, Hi-Fi Acoustics",2699.0,298,61
Zeus K001 - LED Backlight Wired Gaming Keyboard And Mouse Bundle Plug And Play Mechanical Feel,282.0,10000,2000
HXSJ V900 61 Keys Wired Keyboard Cool Lighting Effect Mechanical Black/White/Black Red/Black,1617.0,5000,0
FIREWOLF FW200 FWK230 Rainbow LED mechanical feeling Gaming Keyboard And Mouse Combo Bundle,215.0,50000,2000
APAYADO K82 Mechanical Keyboard | 75% Compact Layout | Hot-Swappable Blue/Red Switches | RGB Backlit | Type-C Wired | Multi-Function Knob,1782.0,0,0
【FLASH SALE】Aula F75 Gaming Mechanical Keyboard Tri-Mode 75% Hot Swappable RGB,1218.0,0,0
HyperX Alloy Origins Wired RGB Aqua/Pink/Black Mechanical Gaming Keyboard - HX Switch Red,5499.0,27,0
Aula F75 Gaming Mechanical Keyboard 3in1  75% 80 Key RGB Tri-Mode Wired Bluetooth Hot Swappable,2699.0,3000,655
[MEGA SALE] AULA F108 PRO Customized Mechanical Keyboard 104 keys Bluetooth/2.4G/wired,1290.0,0,0
Attack shark K86 Mechanical Keyboard Tri-mode Wireless RGB Display Gasket Knob Customized Hot Swap,2799.0,355,1
AULA S75PRO Mechanical Keyboard 80Key Bluetooth 2.4G USB-C LCD Screen Multi-Function Knob RGB,3172.0,803,306
MIIIW Mechanical Keyboard White LED Backlight Gaming Red,4599.0,30,0
HP GK100F Real Mechanical Keyboard Wired Mixed Backlight Gaming Keyboard Anti-conflict Keyboard,899.0,1000,40
Attack Shark X66 Wireless bluetooth RGB three-mode mechanical keyboard,1899.0,1000,194
ZIYOULANG Oreo Mechanical Keyboard 87 Keys Gaming Gamer,699.0,2000,135
Raiku Mechanical Gaming Keyboard Double Color Keycaps Detachable Cable Golden Angle Support RGB Lighting,879.0,10,10
Zeus ZK-011 Wired Mechanical-Style Keyboard 98 Keys RGB + Volume Roller 98% Compact Layout,479.0,0,0
Machenike K500 Wired Mechanical Keyboard 94 Keys Rgb Backlit Hot Swappable,1499.0,4000,79
AULA Aluminum Magnetic Keyboard WIN68HE Ultra 68Keys RGB Wired 8K RT Esports Games Customization Mechanical Keyboard Web Driver,4669.0,30,0
Nexion Mechanical Keyboard Tri-Mode Connection Hot-swap 88 Keys Gaming Keyboard (Gift Key Puller),1058.0,442,98
PREMIUM Keyboard and Mouse Set RGB 104 keys Mechanical Feel - Black,498.0,8,5
AULA S98 Pro Customized Mechanical Keyboard 96Keys With RGB Light Tri-mode Bluetooth/2.4G/Type-C Wir,1260.0,0,0
FreeWolf F75 Mechanical Keyboard | 75% Compact RGB | Tri-Mode Bluetooth 5.0/2.4G/USB-C | Gasket Mount Hot-Swappable | 16M Colors Lighting,3257.0,0,0
AULA WIN60/68HE Magnetic Keyboard Gaming RT Wired RGB Hot-swap 8kHz low latency Mechanical Keyboard,2199.0,45,24
AULA F108 PRO Mechanical Keyboard 104 keys Bluetooth/2.4G/wired Hot swappable Office Gaming Keyboard,3999.0,17,17
Rapoo V500PRO Backlit Mechanical Gaming Wired Keyboard With Numpad RGB LED (Blue Switch)For Computer,1499.0,3,3
[12.12 MEGA SALE] ATTACK SHARK X85/X85 Pro Wireless Mechanical Keyboard 75% 80 Key Wired Bluetooth,1250.0,0,0
Zeus ZK-82 Gasket Wired Hot Swapple Mechanical Keyboard,829.0,389,86
AULA HERO 68HE Magnetic RT Mechanical Keyboard 68Keys Wired RGB Hot Swappable Magnetic Switch,1799.0,15,11
Wireless gaming keyboard 2.4G/Dual Bluetooth RGB backlit mechanical-feel keyboard with smart display,400.0,0,0
