jobId,employer,title,location,displayDate
5532430,Texas City Indep School Dist,Warehouse Helper,"Texas City, Texas",2026-02-10T06:00:00
5523837,Giles Middle School,School Nurse,"Texas City, Texas",2026-02-04T06:00:00
5396657,Giles Middle School,Choir Director,"Texas City, Texas",2026-02-04T06:00:00
5516996,La Marque High School,Clerical Aide - Early College High School,"La Marque, Texas",2026-01-29T06:00:00
5516966,Texas City Indep School Dist,Curriculum and Instruction Administrative Secretary (June 2026),"Texas City, Texas",2026-01-29T06:00:00
5514093,Texas City Indep School Dist,Executive Assistant to Superintendent/Board of Trustees (June 2026),"Texas City, Texas",2026-01-27T06:00:00
5508253,Texas City Indep School Dist,Director of Human Resources (June 2026),"Texas City, Texas",2026-01-22T06:00:00
5495901,Giles Middle School,Teacher - Special Education (2026-2027),"Texas City, Texas",2026-01-13T06:00:00
5495885,Calvin Vincent Headstart,School Nurse (2026-2027),"Texas City, Texas",2026-01-13T06:00:00
5490626,Hayley Elementary,Teacher - Kindergarten,"La Marque, Texas",2026-01-08T06:00:00
5490366,Hayley Elementary,Instructional Aide - Special Education Life Skills,"La Marque, Texas",2026-01-08T06:00:00
5486562,Texas City High School,Head Volleyball Coach / Teacher (2026-2027),"Texas City, Texas",2026-01-06T06:00:00
5374048,Texas City Indep School Dist,Dispatcher Clerk,"Texas City, Texas",2025-12-08T06:00:00
5459336,Texas City Indep School Dist,Journeyman Painter,"Texas City, Texas",2025-12-04T06:00:00
5454815,Giles Middle School,Teacher - Social Studies,"Texas City, Texas",2025-12-02T06:00:00
5454801,Blocker Middle School,Teacher - History,"Texas City, Texas",2025-12-02T06:00:00
5447996,La Marque High School,Instructional Aide - ELL (Must be Bilingual),"La Marque, Texas",2025-11-20T06:00:00
5447883,La Marque High School,Teacher - Science,"La Marque, Texas",2025-11-20T06:00:00
5444620,Kohfeldt Elementary,Cafeteria Monitor,"Texas City, Texas",2025-11-18T06:00:00
5444646,Calvin Vincent Headstart,Cafeteria Monitor,"Texas City, Texas",2025-11-17T06:00:00
5066060,Texas City Indep School Dist,Journeyman Plumber,"Texas City, Texas",2025-11-17T06:00:00
4931669,Texas City Indep School Dist,Journeyman Electrician,"Texas City, Texas",2025-11-17T06:00:00
5439969,Texas City Indep School Dist,Groundskeeper,"Texas City, Texas",2025-11-13T06:00:00
5431785,Kohfeldt Elementary,Campus Safety Monitor,"Texas City, Texas",2025-11-06T06:00:00
5428015,La Marque High School,Campus Safety Monitor,"La Marque, Texas",2025-11-04T06:00:00
5419825,Blocker Middle School,Teacher - Special Education Inclusion/Resource Reading,"Texas City, Texas",2025-10-27T05:00:00
5400313,Texas City Indep School Dist,Bus Driver,"Texas City, Texas",2025-10-08T05:00:00
5400312,Texas City Indep School Dist,Bus Aide,"Texas City, Texas",2025-10-08T05:00:00
